Order_ID,Order_Date,Product,Region,Customer_ID,Units_Sold,Unit_Price,Revenue,Cost,Profit
1,2022-01-01,Headphones,Central,1303,1,28982,28982,14766.99934241199,14215.00065758801
2,2022-01-02,Smartwatch,West,1068,3,9671,29013,18191.16676119502,10821.83323880498
3,2022-01-03,Tablet,East,1360,5,35719,178595,93828.38611038285,84766.61388961715
4,2022-01-04,Smartwatch,North,1601,3,33896,101688,69356.7159644897,32331.2840355103
5,2022-01-05,Smartwatch,East,1957,3,43089,129267,98797.72125600648,30469.27874399352
6,2022-01-06,Mobile,East,1219,3,41046,123138,94185.10940294473,28952.89059705527
7,2022-01-07,Tablet,Central,1961,5,4196,20980,14638.03181137227,6341.968188627729
8,2022-01-08,Tablet,West,1703,5,20558,102790,57908.75598713077,44881.24401286923
9,2022-01-09,Tablet,South,1965,4,20813,83252,63179.86366128665,20072.13633871335
10,2022-01-10,Smartwatch,West,1574,1,19649,19649,15047.75497314077,4601.245026859233
11,2022-01-11,Headphones,West,1584,5,46240,231200,129239.8926523372,101960.1073476628
12,2022-01-12,Tablet,East,1160,5,41575,207875,149925.2342738739,57949.76572612612
13,2022-01-13,Camera,West,1680,4,5456,21824,12787.90079073566,9036.099209264341
14,2022-01-14,Smartwatch,North,1088,6,10695,64170,47536.62865310625,16633.37134689375
15,2022-01-15,Mobile,East,1687,4,17576,70304,56184.94399444687,14119.05600555313
16,2022-01-16,Headphones,North,1780,7,1605,11235,5718.702650962719,5516.297349037281
17,2022-01-17,Camera,South,1584,7,15917,111419,85704.58222016795,25714.41777983205
18,2022-01-18,Camera,East,1756,2,25229,50458,34654.00743929633,15803.99256070367
19,2022-01-19,Mobile,South,1588,3,47456,142368,112757.5610175772,29610.43898242281
20,2022-01-20,Headphones,East,1158,1,30599,30599,19568.14786803735,11030.85213196265
21,2022-01-21,Smartwatch,Central,1488,8,33098,264784,199704.4297425232,65079.57025747679
22,2022-01-22,Laptop,West,1970,9,30461,274149,142206.0814536447,131942.9185463553
23,2022-01-23,Headphones,Central,1323,4,13102,52408,31475.391336951,20932.608663049
24,2022-01-24,Mobile,South,1609,6,9756,58536,30444.86401614145,28091.13598385855
25,2022-01-25,Camera,West,1380,9,21084,189756,150401.1634909364,39354.83650906364
26,2022-01-26,Smartwatch,East,1101,6,47480,284880,212261.8580110803,72618.14198891973
27,2022-01-27,Headphones,West,1493,9,35181,316629,239296.8712325071,77332.12876749289
28,2022-01-28,Laptop,North,1643,4,26292,105168,82177.17823783193,22990.82176216807
29,2022-01-29,Laptop,West,1613,8,22404,179232,94191.9804072664,85040.0195927336
30,2022-01-30,Tablet,North,1018,9,43861,394749,243038.7792141137,151710.2207858863
31,2022-01-31,Tablet,West,1453,4,35040,140160,73066.87501452221,67093.12498547779
32,2022-02-01,Mobile,North,1481,5,27036,135180,76138.50344025985,59041.49655974015
33,2022-02-02,Headphones,South,1593,8,19664,157312,89480.5967352051,67831.4032647949
34,2022-02-03,Headphones,Central,1396,6,13496,80976,51883.92765653662,29092.07234346338
35,2022-02-04,Camera,East,1278,7,3371,23597,13699.67843962108,9897.321560378918
36,2022-02-05,Camera,West,1850,3,46502,139506,73979.11553091557,65526.88446908443
37,2022-02-06,Camera,Central,1364,7,23126,161882,89075.1377454197,72806.8622545803
38,2022-02-07,Tablet,East,1330,8,11021,88168,47979.49756617823,40188.50243382177
39,2022-02-08,Headphones,East,1640,6,43910,263460,208640.0439533922,54819.95604660775
40,2022-02-09,Headphones,North,1343,9,1632,14688,10689.74650248556,3998.253497514437
41,2022-02-10,Laptop,South,1821,6,33967,203802,161070.5166434602,42731.4833565398
42,2022-02-11,Tablet,South,1454,9,15034,135306,85502.85788023174,49803.14211976826
43,2022-02-12,Smartwatch,Central,1600,4,24354,97416,56843.26320289481,40572.73679710519
44,2022-02-13,Tablet,South,1724,8,43498,347984,257329.9779812925,90654.0220187075
45,2022-02-14,Smartwatch,West,1654,4,39565,158260,94619.88352075758,63640.11647924242
46,2022-02-15,Laptop,South,1064,2,46107,92214,54389.2015268595,37824.7984731405
47,2022-02-16,Mobile,Central,1075,9,8312,74808,42621.99247952503,32186.00752047497
48,2022-02-17,Headphones,South,1710,5,5057,25285,13626.17988931994,11658.82011068006
49,2022-02-18,Laptop,West,1142,4,2679,10716,6182.477448556699,4533.522551443301
50,2022-02-19,Headphones,North,1916,2,44298,88596,53741.97253073777,34854.02746926223
51,2022-02-20,Camera,Central,1914,1,9565,9565,6716.526380274174,2848.473619725826
52,2022-02-21,Mobile,North,1827,7,8775,61425,31865.41362999895,29559.58637000105
53,2022-02-22,Mobile,North,1604,6,48357,290142,163394.0713465146,126747.9286534854
54,2022-02-23,Laptop,North,1472,2,36448,72896,54140.37618481062,18755.62381518938
55,2022-02-24,Mobile,East,1416,8,21200,169600,92275.38747194226,77324.61252805774
56,2022-02-25,Smartwatch,East,1304,4,39964,159856,96360.16476275126,63495.83523724874
57,2022-02-26,Mobile,North,1735,8,42851,342808,260327.5987053036,82480.4012946964
58,2022-02-27,Headphones,Central,1496,7,28294,198058,108234.2591823344,89823.7408176656
59,2022-02-28,Headphones,West,1290,5,29283,146415,76841.67413611118,69573.32586388882
60,2022-03-01,Headphones,West,1939,8,17498,139984,90340.27001098407,49643.72998901593
61,2022-03-02,Headphones,South,1101,9,14369,129321,76393.25808541548,52927.74191458452
62,2022-03-03,Smartwatch,Central,1985,5,45025,225125,150613.6924163283,74511.3075836717
63,2022-03-04,Tablet,East,1266,5,28652,143260,106175.9265831988,37084.0734168012
64,2022-03-05,Camera,North,1866,2,21454,42908,23219.43019889737,19688.56980110263
65,2022-03-06,Laptop,South,1967,5,32055,160275,108058.9637330814,52216.03626691859
66,2022-03-07,Headphones,West,1621,3,17154,51462,33535.34754815495,17926.65245184505
67,2022-03-08,Mobile,East,1973,7,45526,318682,173115.5947052775,145566.4052947225
68,2022-03-09,Headphones,East,1841,5,35736,178680,122788.8148182956,55891.18518170441
69,2022-03-10,Mobile,North,1961,8,47476,379808,221083.2459480592,158724.7540519408
70,2022-03-11,Camera,West,1941,1,15542,15542,10045.57629364331,5496.423706356687
71,2022-03-12,Camera,Central,1776,3,26466,79398,41658.67740088505,37739.32259911495
72,2022-03-13,Camera,East,1002,3,48907,146721,93589.689737532,53131.310262468
73,2022-03-14,Mobile,North,1084,9,44814,403326,238744.4054135515,164581.5945864485
74,2022-03-15,Headphones,Central,1793,5,45595,227975,170232.2069859944,57742.79301400564
75,2022-03-16,Camera,West,1327,9,14770,132930,68737.25465392806,64192.74534607194
76,2022-03-17,Smartwatch,East,1815,9,31408,282672,176834.5666847143,105837.4333152857
77,2022-03-18,Mobile,Central,1449,1,16023,16023,10215.13401265741,5807.865987342591
78,2022-03-19,Mobile,Central,1453,2,47568,95136,68260.25342243789,26875.74657756211
79,2022-03-20,Headphones,Central,1923,5,20491,102455,68879.09005176027,33575.90994823973
80,2022-03-21,Mobile,East,1628,4,11275,45100,31577.38292223727,13522.61707776273
81,2022-03-22,Mobile,East,1220,9,12765,114885,84223.89215463061,30661.10784536939
82,2022-03-23,Camera,South,1153,7,19959,139713,105994.789217612,33718.21078238804
83,2022-03-24,Headphones,West,1664,6,17173,103038,61221.33102938698,41816.66897061302
84,2022-03-25,Camera,North,1011,7,27556,192892,127580.0827049162,65311.9172950838
85,2022-03-26,Camera,Central,1132,1,7114,7114,5349.95866100494,1764.04133899506
86,2022-03-27,Headphones,South,1993,1,36520,36520,29100.42659085316,7419.57340914684
87,2022-03-28,Laptop,North,1303,8,7915,63320,48557.30883258733,14762.69116741267
88,2022-03-29,Camera,South,1292,2,23655,47310,28927.23485842778,18382.76514157222
89,2022-03-30,Smartwatch,East,1974,9,49930,449370,250995.5933527635,198374.4066472365
90,2022-03-31,Smartwatch,Central,1299,7,44384,310688,200958.5165985335,109729.4834014665
91,2022-04-01,Mobile,North,1739,6,17464,104784,75705.64736675636,29078.35263324364
92,2022-04-02,Smartwatch,North,1782,1,38226,38226,24761.68358958467,13464.31641041533
93,2022-04-03,Mobile,North,1042,1,37544,37544,24214.16269967451,13329.83730032549
94,2022-04-04,Laptop,North,1943,2,38044,76088,57177.78288378161,18910.21711621839
95,2022-04-05,Headphones,North,1342,6,32752,196512,119562.0538296153,76949.94617038472
96,2022-04-06,Headphones,South,1325,6,4332,25992,19700.33495631129,6291.665043688714
97,2022-04-07,Headphones,Central,1813,2,25775,51550,32066.23624671841,19483.76375328159
98,2022-04-08,Smartwatch,East,1497,1,15401,15401,9217.035418165631,6183.964581834369
99,2022-04-09,Laptop,East,1363,5,38713,193565,123145.4671484109,70419.53285158907
100,2022-04-10,Smartwatch,East,1890,5,34648,173240,126245.8933362503,46994.10666374973
101,2022-04-11,Smartwatch,East,1426,2,43133,86266,46393.9072807146,39872.0927192854
